charset-normalizer                                2.1.1   3.1.0  wheel
cryptography                                      38.0.4  41.0.1 wheel
pyobjc                                            9.1.1   9.2    wheel
pyobjc-core                                       9.1.1   9.2    wheel
pyobjc-framework-Accessibility                    9.1.1   9.2    wheel
pyobjc-framework-Accounts                         9.1.1   9.2    wheel
pyobjc-framework-AddressBook                      9.1.1   9.2    wheel
pyobjc-framework-AdServices                       9.1.1   9.2    wheel
pyobjc-framework-AdSupport                        9.1.1   9.2    wheel
pyobjc-framework-AppleScriptKit                   9.1.1   9.2    wheel
pyobjc-framework-AppleScriptObjC                  9.1.1   9.2    wheel
pyobjc-framework-ApplicationServices              9.1.1   9.2    wheel
pyobjc-framework-AppTrackingTransparency          9.1.1   9.2    wheel
pyobjc-framework-AudioVideoBridging               9.1.1   9.2    wheel
pyobjc-framework-AuthenticationServices           9.1.1   9.2    wheel
pyobjc-framework-AutomaticAssessmentConfiguration 9.1.1   9.2    wheel
pyobjc-framework-Automator                        9.1.1   9.2    wheel
pyobjc-framework-AVFoundation                     9.1.1   9.2    wheel
pyobjc-framework-AVKit                            9.1.1   9.2    wheel
pyobjc-framework-AVRouting                        9.1.1   9.2    wheel
pyobjc-framework-BackgroundAssets                 9.1.1   9.2    wheel
pyobjc-framework-BusinessChat                     9.1.1   9.2    wheel
pyobjc-framework-CalendarStore                    9.1.1   9.2    wheel
pyobjc-framework-CallKit                          9.1.1   9.2    wheel
pyobjc-framework-CFNetwork                        9.1.1   9.2    wheel
pyobjc-framework-ClassKit                         9.1.1   9.2    wheel
pyobjc-framework-CloudKit                         9.1.1   9.2    wheel
pyobjc-framework-Cocoa                            9.1.1   9.2    wheel
pyobjc-framework-Collaboration                    9.1.1   9.2    wheel
pyobjc-framework-ColorSync                        9.1.1   9.2    wheel
pyobjc-framework-Contacts                         9.1.1   9.2    wheel
pyobjc-framework-ContactsUI                       9.1.1   9.2    wheel
pyobjc-framework-CoreAudio                        9.1.1   9.2    wheel
pyobjc-framework-CoreAudioKit                     9.1.1   9.2    wheel
pyobjc-framework-CoreBluetooth                    9.1.1   9.2    wheel
pyobjc-framework-CoreData                         9.1.1   9.2    wheel
pyobjc-framework-CoreHaptics                      9.1.1   9.2    wheel
pyobjc-framework-CoreLocation                     9.1.1   9.2    wheel
pyobjc-framework-CoreMedia                        9.1.1   9.2    wheel
pyobjc-framework-CoreMediaIO                      9.1.1   9.2    wheel
pyobjc-framework-CoreMIDI                         9.1.1   9.2    wheel
pyobjc-framework-CoreML                           9.1.1   9.2    wheel
pyobjc-framework-CoreMotion                       9.1.1   9.2    wheel
pyobjc-framework-CoreServices                     9.1.1   9.2    wheel
pyobjc-framework-CoreSpotlight                    9.1.1   9.2    wheel
pyobjc-framework-CoreText                         9.1.1   9.2    wheel
pyobjc-framework-CoreWLAN                         9.1.1   9.2    wheel
pyobjc-framework-CryptoTokenKit                   9.1.1   9.2    wheel
pyobjc-framework-DataDetection                    9.1.1   9.2    wheel
pyobjc-framework-DeviceCheck                      9.1.1   9.2    wheel
pyobjc-framework-DictionaryServices               9.1.1   9.2    wheel
pyobjc-framework-DiscRecording                    9.1.1   9.2    wheel
pyobjc-framework-DiscRecordingUI                  9.1.1   9.2    wheel
pyobjc-framework-DiskArbitration                  9.1.1   9.2    wheel
pyobjc-framework-DVDPlayback                      9.1.1   9.2    wheel
pyobjc-framework-EventKit                         9.1.1   9.2    wheel
pyobjc-framework-ExceptionHandling                9.1.1   9.2    wheel
pyobjc-framework-ExecutionPolicy                  9.1.1   9.2    wheel
pyobjc-framework-ExtensionKit                     9.1.1   9.2    wheel
pyobjc-framework-ExternalAccessory                9.1.1   9.2    wheel
pyobjc-framework-FileProvider                     9.1.1   9.2    wheel
pyobjc-framework-FileProviderUI                   9.1.1   9.2    wheel
pyobjc-framework-FinderSync                       9.1.1   9.2    wheel
pyobjc-framework-FSEvents                         9.1.1   9.2    wheel
pyobjc-framework-GameCenter                       9.1.1   9.2    wheel
pyobjc-framework-GameController                   9.1.1   9.2    wheel
pyobjc-framework-GameKit                          9.1.1   9.2    wheel
pyobjc-framework-GameplayKit                      9.1.1   9.2    wheel
pyobjc-framework-HealthKit                        9.1.1   9.2    wheel
pyobjc-framework-ImageCaptureCore                 9.1.1   9.2    wheel
pyobjc-framework-IMServicePlugIn                  9.1.1   9.2    wheel
pyobjc-framework-InputMethodKit                   9.1.1   9.2    wheel
pyobjc-framework-InstallerPlugins                 9.1.1   9.2    wheel
pyobjc-framework-InstantMessage                   9.1.1   9.2    wheel
pyobjc-framework-Intents                          9.1.1   9.2    wheel
pyobjc-framework-IntentsUI                        9.1.1   9.2    wheel
pyobjc-framework-IOBluetooth                      9.1.1   9.2    wheel
pyobjc-framework-IOBluetoothUI                    9.1.1   9.2    wheel
pyobjc-framework-IOSurface                        9.1.1   9.2    wheel
pyobjc-framework-iTunesLibrary                    9.1.1   9.2    wheel
pyobjc-framework-KernelManagement                 9.1.1   9.2    wheel
pyobjc-framework-LatentSemanticMapping            9.1.1   9.2    wheel
pyobjc-framework-LaunchServices                   9.1.1   9.2    wheel
pyobjc-framework-libdispatch                      9.1.1   9.2    wheel
pyobjc-framework-libxpc                           9.1.1   9.2    wheel
pyobjc-framework-LinkPresentation                 9.1.1   9.2    wheel
pyobjc-framework-LocalAuthentication              9.1.1   9.2    wheel
pyobjc-framework-LocalAuthenticationEmbeddedUI    9.1.1   9.2    wheel
pyobjc-framework-MailKit                          9.1.1   9.2    wheel
pyobjc-framework-MapKit                           9.1.1   9.2    wheel
pyobjc-framework-MediaAccessibility               9.1.1   9.2    wheel
pyobjc-framework-MediaLibrary                     9.1.1   9.2    wheel
pyobjc-framework-MediaPlayer                      9.1.1   9.2    wheel
pyobjc-framework-MediaToolbox                     9.1.1   9.2    wheel
pyobjc-framework-Metal                            9.1.1   9.2    wheel
pyobjc-framework-MetalFX                          9.1.1   9.2    wheel
pyobjc-framework-MetalKit                         9.1.1   9.2    wheel
pyobjc-framework-MetalPerformanceShaders          9.1.1   9.2    wheel
pyobjc-framework-MetalPerformanceShadersGraph     9.1.1   9.2    wheel
pyobjc-framework-MetricKit                        9.1.1   9.2    wheel
pyobjc-framework-MLCompute                        9.1.1   9.2    wheel
pyobjc-framework-ModelIO                          9.1.1   9.2    wheel
pyobjc-framework-MultipeerConnectivity            9.1.1   9.2    wheel
pyobjc-framework-NaturalLanguage                  9.1.1   9.2    wheel
pyobjc-framework-NetFS                            9.1.1   9.2    wheel
pyobjc-framework-Network                          9.1.1   9.2    wheel
pyobjc-framework-NetworkExtension                 9.1.1   9.2    wheel
pyobjc-framework-NotificationCenter               9.1.1   9.2    wheel
pyobjc-framework-OpenDirectory                    9.1.1   9.2    wheel
pyobjc-framework-OSAKit                           9.1.1   9.2    wheel
pyobjc-framework-OSLog                            9.1.1   9.2    wheel
pyobjc-framework-PassKit                          9.1.1   9.2    wheel
pyobjc-framework-PencilKit                        9.1.1   9.2    wheel
pyobjc-framework-PHASE                            9.1.1   9.2    wheel
pyobjc-framework-Photos                           9.1.1   9.2    wheel
pyobjc-framework-PhotosUI                         9.1.1   9.2    wheel
pyobjc-framework-PreferencePanes                  9.1.1   9.2    wheel
pyobjc-framework-PushKit                          9.1.1   9.2    wheel
pyobjc-framework-Quartz                           9.1.1   9.2    wheel
pyobjc-framework-QuickLookThumbnailing            9.1.1   9.2    wheel
pyobjc-framework-ReplayKit                        9.1.1   9.2    wheel
pyobjc-framework-SafariServices                   9.1.1   9.2    wheel
pyobjc-framework-SafetyKit                        9.1.1   9.2    wheel
pyobjc-framework-SceneKit                         9.1.1   9.2    wheel
pyobjc-framework-ScreenCaptureKit                 9.1.1   9.2    wheel
pyobjc-framework-ScreenSaver                      9.1.1   9.2    wheel
pyobjc-framework-ScreenTime                       9.1.1   9.2    wheel
pyobjc-framework-ScriptingBridge                  9.1.1   9.2    wheel
pyobjc-framework-SearchKit                        9.1.1   9.2    wheel
pyobjc-framework-Security                         9.1.1   9.2    wheel
pyobjc-framework-SecurityFoundation               9.1.1   9.2    wheel
pyobjc-framework-SecurityInterface                9.1.1   9.2    wheel
pyobjc-framework-ServiceManagement                9.1.1   9.2    wheel
pyobjc-framework-SharedWithYou                    9.1.1   9.2    wheel
pyobjc-framework-SharedWithYouCore                9.1.1   9.2    wheel
pyobjc-framework-ShazamKit                        9.1.1   9.2    wheel
pyobjc-framework-Social                           9.1.1   9.2    wheel
pyobjc-framework-SoundAnalysis                    9.1.1   9.2    wheel
pyobjc-framework-Speech                           9.1.1   9.2    wheel
pyobjc-framework-SpriteKit                        9.1.1   9.2    wheel
pyobjc-framework-StoreKit                         9.1.1   9.2    wheel
pyobjc-framework-SyncServices                     9.1.1   9.2    wheel
pyobjc-framework-SystemConfiguration              9.1.1   9.2    wheel
pyobjc-framework-SystemExtensions                 9.1.1   9.2    wheel
pyobjc-framework-ThreadNetwork                    9.1.1   9.2    wheel
pyobjc-framework-UniformTypeIdentifiers           9.1.1   9.2    wheel
pyobjc-framework-UserNotifications                9.1.1   9.2    wheel
pyobjc-framework-UserNotificationsUI              9.1.1   9.2    wheel
pyobjc-framework-VideoSubscriberAccount           9.1.1   9.2    wheel
pyobjc-framework-VideoToolbox                     9.1.1   9.2    wheel
pyobjc-framework-Virtualization                   9.1.1   9.2    wheel
pyobjc-framework-Vision                           9.1.1   9.2    wheel
pyobjc-framework-WebKit                           9.1.1   9.2    wheel
python-slugify                                    6.1.2   8.0.1  wheel
selenium                                          4.9.1   4.10.0 wheel
tidevice                                          0.4.10  0.10.9 wheel
trio-websocket                                    0.10.2  0.10.3 wheel
urllib3                                           2.0.2   2.0.3  wheel
websocket-client                                  1.3.3   1.5.2  wheel
Werkzeug                                          2.3.4   2.3.6  wheel

